,client_id,name39,name40,name41,name42,name43,name44,name45,name46,name47,name48,name49,name50,name51,name52,name53,name54,name55,name56,name57,name58,name59,name60,name61,name62,name63
62,027867eae02110a581f0e56671af53fe,sleeping,average,,,,,,,,,sleeping,,,sleeping,,,,,sleeping,,sleeping,,,,average
63,027cc3bacd8cf2a505453d46f235f1d7,average,,sleeping,sleeping,average,,,,,champions,,loyal,loyal,,,,loyal,loyal,,,sleeping,loyal,,loyal,
64,02beec9b5be9fd24537e7408ff611107,sleeping,,,champions,,champions,,,,loyal,,,loyal,sleeping,average,sleeping,sleeping,sleeping,,champions,average,,sleeping,sleeping,champions
65,02d59ffe065c2f1b25ed63623c0d03d5,sleeping,,sleeping,,,,,,,,,,,sleeping,,,,sleeping,,,,,sleeping,loyal,
66,02d70f3ea50b952cd1d79efcd32f6ce6,loyal,,,,,,,sleeping,,,,,,,,,,,,,sleeping,,,,
67,02e62b440f2ce2402d6f0139a87beda8,average,,,,,,,sleeping,,sleeping,,,sleeping,sleeping,,,,,,,,sleeping,sleeping,,sleeping
68,02f6e919f8475f4d62337c19e5ff788e,sleeping,,,,champions,,,,sleeping,,,,,loyal,,,,,average,,,sleeping,average,sleeping,sleeping
69,02fc6082fd719a294e1a355b97f143ee,,,,,,,,,,,,,,,,,,,,,,,average,,
70,03222d5df2cdaf54b8d06e8ea02f5ecc,sleeping,,,,sleeping,average,,champions,,sleeping,,,,sleeping,,,,average,,,average,,,,sleeping
71,03283083f72a38e993611fc0bd132147,average,sleeping,sleeping,,,loyal,sleeping,,,sleeping,sleeping,sleeping,sleeping,sleeping,average,sleeping,,loyal,sleeping,,,sleeping,,average,loyal
72,035588a45a6ff1150d8a69429a0572be,champions,,,loyal,,loyal,,sleeping,,champions,sleeping,loyal,,sleeping,loyal,,,champions,,,sleeping,,,loyal,
73,0372c5bbb681ae54548b4c0e4ac118b1,,,,,,,,,,,,,,average,,,,,,sleeping,,,,,
74,0378214369522392fd6105932e16f06d,sleeping,,,,,sleeping,sleeping,,,,,,,,,,,,,,,,,,
75,038bd6ba54222e71c4c07bb01108c18f,sleeping,sleeping,,,,,,,,sleeping,sleeping,sleeping,sleeping,average,champions,,sleeping,average,,,average,average,,average,average
76,0394d6683d230c891733682645f31519,sleeping,,,,sleeping,,,,,average,,,,,,,,sleeping,,,,,,,
77,039beec79a47ef021c356d8b7bff7068,,,,,loyal,,,,,,,,,,,,,,,loyal,,,,,
78,03c6fe7ee592db41a00e57b459d2fb7a,sleeping,,sleeping,,,,,,average,sleeping,,,,sleeping,average,,sleeping,sleeping,,sleeping,sleeping,sleeping,sleeping,sleeping,
79,03d129ae3df5789e4c4d9ed70bc14433,sleeping,,,,,,,,,,,,,,,,,,,,,,,,
80,03d3714bb0b8d66f02b9b158550033da,sleeping,loyal,average,sleeping,champions,sleeping,sleeping,sleeping,average,loyal,sleeping,average,,,,,,champions,average,average,,sleeping,,,average
