,client_id,name0,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10
10405,d6d0987aefb37bd309b195ad262d2d26,average,,average,average,average,sleeping,big spenders,big spenders,average,sleeping,average
10406,d6d0c705e44e4eb9a7b75008a7ffdbb8,sleeping,sleeping,sleeping,,,,,,,,
10407,d6d3728c6cb856e714c76fb5c0afff54,sleeping,,,,,average,sleeping,sleeping,average,most frequent,average
10408,d6d626f744d7a029c30c13b56401ee71,average,sleeping,average,sleeping,sleeping,,most frequent,sleeping,most frequent,,average
10409,d6db6a220a752f85aa75f4d8a9a3973d,sleeping,big spenders,average,sleeping,,,average,,,,
10410,d6e232cfd2e14fba0f5dc3b7161b93f0,sleeping,,,,average,,sleeping,,,,
10411,d6e4a3349c1bcacc48f74009c3b88df2,sleeping,average,,most frequent,most frequent,sleeping,sleeping,average,sleeping,sleeping,
10412,d6e9bee4f6e56c4d4ab1ef0ee9049a31,average,average,sleeping,sleeping,sleeping,sleeping,,,,,sleeping
10413,d6ec883ecccfd6a7df766ec31f0ec7a3,sleeping,sleeping,sleeping,average,sleeping,sleeping,average,sleeping,sleeping,,most frequent
10414,d6f0c996945d98a748dea98e3aac2839,sleeping,average,,sleeping,sleeping,sleeping,sleeping,sleeping,,,
10415,d6f4fd7bda12328763928bbee8be94c3,average,sleeping,average,sleeping,sleeping,,,,,,
10416,d6ff461176c01973eb1aabfd59bab0e0,average,,,,,,average,sleeping,average,,
10417,d704f8f25c0651f5dd0503ff30a7a98e,sleeping,,,,,average,,,,,
10418,d70f300c9dd869bfe7bc4b7ecadd633d,sleeping,average,average,sleeping,average,sleeping,sleeping,sleeping,,,
10419,d70fa8caf15955b6249dfea71e09bfaf,sleeping,sleeping,sleeping,,,sleeping,sleeping,average,sleeping,sleeping,sleeping
10420,d7104fd4b19b17dd89bc3d054d320fe7,sleeping,,,,,sleeping,,,,sleeping,
10421,d7155b1963ff3cef58be868e629071b7,sleeping,,,,,,sleeping,average,average,sleeping,
10422,d71604022a3b0f8a274f461ca40fca38,sleeping,sleeping,average,average,big spenders,sleeping,,sleeping,average,sleeping,average
10423,d7196cf53513872d68e7f743a627570e,sleeping,sleeping,average,average,average,average,average,most frequent,sleeping,average,average
10424,d71a2fb09f4ee795026fad400dda7bc4,sleeping,,average,sleeping,,,sleeping,,,sleeping,
10425,d71a6ddd2124d15101b3b84b31d60def,average,average,big spenders,sleeping,,,,,,,
10426,d71c4f5e4178c40d50e7cd05900adcc7,average,sleeping,,most frequent,average,sleeping,average,most frequent,sleeping,most frequent,average
10427,d720edd883cb96f49017c5adb4b08c5b,sleeping,sleeping,,sleeping,,sleeping,sleeping,sleeping,average,sleeping,sleeping
10428,d7210432502ce16eed1daeb35ff53648,average,sleeping,,sleeping,sleeping,,,,,,
10429,d72465cc6e8270eaaa803cbe378d7d09,sleeping,sleeping,sleeping,average,average,average,average,sleeping,average,sleeping,
10430,d72860bb3f262aa5defdd50c65f74ae5,average,sleeping,,,,,,,,,
10431,d72f647d25decf83a8f53ecdfbae2227,sleeping,most frequent,sleeping,average,average,big spenders,big spenders,sleeping,average,big spenders,average
10432,d7322aa408cdec5a33c9804ca647d52a,sleeping,average,,,,,,sleeping,average,,most frequent
10433,d73c29cf53dd934572925d767ddc6f32,sleeping,,sleeping,,,,,,,sleeping,
10434,d7428684754ec8bc432e9e4a5a3de0d6,average,,,,,average,,,sleeping,sleeping,sleeping
10435,d7455018c182fea8ba3f24b5c38ede1c,average,sleeping,sleeping,sleeping,sleeping,sleeping,,,,,
10436,d74a60224faecc5aac6735436a0b58e9,sleeping,,sleeping,sleeping,sleeping,,,,sleeping,,
10437,d74d67b6cd37a8d5767259a69555b011,sleeping,,,average,sleeping,average,,average,sleeping,sleeping,sleeping
10438,d7509e091657d9780d0407785105df4f,sleeping,sleeping,,average,average,average,average,average,,,big spenders
10439,d7541f3cac1dd3c7ad2ff2b9dd7f83ac,average,sleeping,average,average,,sleeping,sleeping,,sleeping,sleeping,
10440,d7551c2cc9959291d76d1d01f1c624c0,sleeping,sleeping,sleeping,sleeping,sleeping,average,sleeping,sleeping,average,average,sleeping
10441,d756f5c19431b11746bdf9554b34a5e6,sleeping,average,sleeping,,,sleeping,sleeping,sleeping,,sleeping,average
10442,d767604e8b194ccead6a7d4477ea1ecf,sleeping,,sleeping,sleeping,,,most frequent,average,most frequent,sleeping,average
10443,d76c9df7f2f686dd70b1d15527c994bc,big spenders,,,,,sleeping,,big spenders,average,big spenders,big spenders
10444,d77930e230057a1eccce5f7db7c369b8,average,average,sleeping,,,sleeping,average,,,average,
10445,d77d753686758e666632565c8bd9e20a,sleeping,sleeping,average,sleeping,,sleeping,,sleeping,average,,sleeping
10446,d77e30d078b7cdfe34a341d56e17582e,sleeping,,sleeping,sleeping,,,most frequent,,most frequent,sleeping,
10447,d7826a982b0095a41f533abb8497db9b,most frequent,average,most frequent,most frequent,average,sleeping,average,sleeping,average,most frequent,sleeping
10448,d7839d9e5ad26531f2a3db7c3ca5be40,most frequent,sleeping,average,most frequent,most frequent,most frequent,,,,,
10449,d788a050c589f3d5c5b97708db769a4c,sleeping,big spenders,average,sleeping,,sleeping,sleeping,sleeping,average,sleeping,average
10450,d78c377a9a5558a5fa47ab67f6040124,sleeping,sleeping,sleeping,,,average,,sleeping,average,,
10451,d793bac3bc1667ac433081905724f7f1,most frequent,sleeping,,average,sleeping,most frequent,,,,,average
10452,d794a0db52a03c3ad7415cbf3de4e3f7,sleeping,average,average,sleeping,sleeping,sleeping,average,sleeping,,sleeping,sleeping
10453,d7952226b082453489ddb5627445252f,big spenders,,sleeping,sleeping,,,,,average,,
10454,d797e678e9c8e21f48584cea1f94b5dd,average,sleeping,sleeping,sleeping,sleeping,sleeping,,sleeping,,sleeping,
10455,d7992061053e00e5d76f1a35795a4f75,sleeping,sleeping,sleeping,sleeping,,sleeping,,sleeping,sleeping,sleeping,sleeping
10456,d79b94c708e8ced3a068f7c190d84fd5,average,sleeping,,sleeping,,,,,,,
10457,d7a1fa0ad1c464b7e68e0ec615973746,sleeping,,,average,sleeping,sleeping,,,,sleeping,
10458,d7ac5c278321433fb7a9afbf9c64daf3,sleeping,sleeping,,,,sleeping,,,,sleeping,
10459,d7ae69321dbfcde3144ec8c57e74cc1d,most frequent,most frequent,sleeping,most frequent,most frequent,sleeping,most frequent,average,sleeping,sleeping,sleeping
10460,d7b68bd287a82807eba8fb671b6bb5cd,average,average,average,most frequent,average,average,most frequent,most frequent,sleeping,sleeping,most frequent
10461,d7c63a0a5cd1d14be379b89530954462,average,,,,,,,,,,
10462,d7c7c793abc330f15e7af71c73b8ff9f,sleeping,,,,,,,sleeping,,,
10463,d7c85a5f8835d9a34a66d494c85936a3,sleeping,sleeping,sleeping,average,sleeping,,sleeping,sleeping,average,sleeping,
10464,d7d5379f7de6f7de96fc104ace24d7f4,sleeping,sleeping,sleeping,sleeping,,,sleeping,,,,average
10465,d7d8436ab50856b602f9178645f76439,sleeping,sleeping,,sleeping,sleeping,,sleeping,average,average,sleeping,sleeping
10466,d7d8e7a9f661cc132a6990d8f278ca91,most frequent,most frequent,sleeping,average,,,sleeping,,,sleeping,
10467,d7db8c9e7e25b777f37f5c2c0b48b39f,sleeping,average,big spenders,most frequent,average,sleeping,most frequent,sleeping,sleeping,,sleeping
10468,d7df42e48201b7e781a245b388291a08,sleeping,sleeping,,,,,sleeping,,,sleeping,sleeping
10469,d7e5a63a150a485194eca392e8456437,sleeping,sleeping,average,sleeping,sleeping,,sleeping,,sleeping,sleeping,sleeping
10470,d7e6c7a2257dade06c93c749179f9852,sleeping,most frequent,average,sleeping,,sleeping,,sleeping,sleeping,sleeping,
10471,d7f32ed1a5043a544267aca023ffcb9a,sleeping,,sleeping,average,sleeping,most frequent,average,,,sleeping,sleeping
10472,d7f354d31229fe89205bc29a239ef191,sleeping,,,sleeping,,sleeping,,sleeping,,,
10473,d7fb6da39ed91f610cf7cbd7c8b0ec0c,sleeping,sleeping,,,,average,,big spenders,,,
10474,d7fc08ab0311ae67f4ee3f174353677a,average,sleeping,,,,sleeping,,,,,
10475,d80266baf98ecb810f8849f61443e06a,average,sleeping,average,average,sleeping,,average,sleeping,sleeping,sleeping,sleeping
10476,d80a4327b05117baf796e70b2afbc6b9,average,average,sleeping,average,sleeping,average,sleeping,sleeping,average,average,sleeping
10477,d80b8bc440dc68580428f6de66a8e78b,sleeping,,sleeping,sleeping,,sleeping,sleeping,sleeping,,,
10478,d80d9eeac0fa20053873d843293faf61,average,average,sleeping,sleeping,,most frequent,average,average,,sleeping,sleeping
10479,d813b2d1c0c8cb8264bd266a0f1a7a22,average,most frequent,most frequent,most frequent,most frequent,most frequent,average,sleeping,average,sleeping,sleeping
10480,d818281465617b6a9af2929976a05c7b,average,sleeping,average,sleeping,sleeping,,sleeping,most frequent,average,sleeping,average
10481,d818a43a4bd51617b93ac1bf991bfb89,average,sleeping,,sleeping,sleeping,sleeping,,sleeping,sleeping,average,average
10482,d826975fefc849672da3a93aa21d7c45,sleeping,average,sleeping,sleeping,sleeping,sleeping,sleeping,sleeping,,,sleeping
10483,d82ab8be96b0e6f8a00d74bb54ff11c5,sleeping,sleeping,sleeping,average,,,average,sleeping,,,
10484,d82c3027bbb027f5c842c601a4f282af,average,average,sleeping,big spenders,average,sleeping,most frequent,big spenders,sleeping,big spenders,sleeping
10485,d82ded8570a0a75ff76495144db99206,sleeping,,,,,,sleeping,,,,
10486,d8317b9427372ee2454c09c7751c9c2f,sleeping,,sleeping,most frequent,average,sleeping,sleeping,average,sleeping,sleeping,sleeping
10487,d83652a3eee95ccbd42325a89519685c,sleeping,,sleeping,average,sleeping,average,average,,average,most frequent,sleeping
10488,d83a440f473012319ad489cabccd2b66,average,sleeping,,,,,,,,,sleeping
10489,d83d238f5811654c6acf56a5477c343c,sleeping,,,sleeping,sleeping,,sleeping,,,,
10490,d83ecea49cfe60ab6c36a05ea300b95a,big spenders,average,big spenders,average,sleeping,sleeping,sleeping,sleeping,sleeping,,
10491,d841cd42ae44d1b1a9b1fe4c2517838e,sleeping,,,,,,sleeping,,sleeping,,
10492,d843bc227f5167be5015394b3e50e564,sleeping,big spenders,average,average,sleeping,sleeping,sleeping,sleeping,big spenders,,average
10493,d844d44b5b1297c01a4af50ce2dec242,sleeping,,average,,,,,,,,
10494,d8561e3315cd1265dda31e03c72bd63c,average,sleeping,average,average,sleeping,average,sleeping,,sleeping,average,average
10495,d85fad8451ff5d2ca3baad3cf738e830,average,,,average,average,,average,,,,
10496,d8638c5391d5b148705197b29b00d371,sleeping,,,,,,,,sleeping,,
10497,d86615c091eb9f6f5201417321b75fd5,average,sleeping,,,,,,,,,
10498,d866d05c1ff7c2ec8afd4cbd3a81d324,sleeping,,sleeping,sleeping,,sleeping,average,,average,sleeping,sleeping
10499,d868ba7edf2d3f99357f6e7efbf71a3f,sleeping,sleeping,,sleeping,sleeping,,sleeping,,,,
10500,d868e6d322a6b8f10fdf2a12bd785bb8,sleeping,,,sleeping,sleeping,sleeping,,,,,
10501,d869dfc96b4055ab553bca5d71d9801a,sleeping,average,most frequent,sleeping,sleeping,sleeping,sleeping,,average,,
10502,d86a0de8949e66aa6c597a0c8f59d90f,sleeping,,sleeping,average,sleeping,,sleeping,sleeping,,average,sleeping
10503,d86a62573af72775c5ca51afae081fab,sleeping,,,,,,,,,,sleeping
10504,d86f6977fc90c6741392f3c26be58f68,sleeping,,,sleeping,sleeping,,,average,sleeping,,average
10505,d8758b4fd0b34a70a7c4694be552e021,sleeping,sleeping,average,sleeping,sleeping,average,,sleeping,,sleeping,
10506,d8774d617d8fc530e792b479af4bcfff,average,average,sleeping,sleeping,sleeping,,,,,,
10507,d88bac49b2aaedf5568de22a310dc8d6,average,big spenders,average,average,sleeping,most frequent,,average,average,sleeping,sleeping
10508,d894ce429f0e50f5af75d7911194ae3c,sleeping,,sleeping,,,sleeping,,,,sleeping,
10509,d89deead57d66eb64a625f72fed469ac,average,big spenders,sleeping,,,,average,,,average,
10510,d89ee09bf9597680a77ada47b0e18931,sleeping,,sleeping,,,,,,,,
10511,d8a33cedfeba7a388be9e6f66e4f6f60,sleeping,,,sleeping,sleeping,,average,,sleeping,average,most frequent
10512,d8a4d5d1a01aedc05abe30349335126b,average,sleeping,,average,sleeping,sleeping,,average,,,
10513,d8adc164aca563ed1eb2e3a803ec8fa9,average,average,most frequent,most frequent,average,average,sleeping,sleeping,sleeping,sleeping,sleeping
10514,d8af5f0d375ab44105d21a83c41fc1c9,sleeping,average,,average,sleeping,sleeping,,,average,sleeping,sleeping
10515,d8b07031ee5c605955480fc1a4924c50,average,big spenders,average,most frequent,most frequent,average,sleeping,,sleeping,average,
10516,d8be03a22813d83e5b9b4da0fc24568c,most frequent,big spenders,average,average,average,most frequent,most frequent,average,most frequent,average,
10517,d8becdefce5eecfa8a6086cbc7d44c54,sleeping,sleeping,sleeping,,,,,sleeping,,sleeping,sleeping
10518,d8c1fc6fb5e790347877a61544d83a62,sleeping,,,sleeping,,,,,sleeping,,
10519,d8cbf37b692be8aff567524acc12b166,sleeping,,,,,,,sleeping,,,sleeping
10520,d8cd38f925e7e63e9112b63e6c7a5c87,most frequent,average,most frequent,sleeping,average,most frequent,average,average,sleeping,sleeping,sleeping
10521,d8cdb403939e47d1db181db0fcef0721,sleeping,average,,sleeping,,sleeping,,average,sleeping,big spenders,big spenders
10522,d8dde381cb862ae0f6785ddf945d5f15,most frequent,,most frequent,most frequent,most frequent,most frequent,sleeping,average,sleeping,sleeping,
10523,d8dec23522d1a17db19a70f1c07b8e93,big spenders,,,sleeping,,,,,,,
10524,d8e2436f90296797de45834722bc29ea,sleeping,,sleeping,,,sleeping,,,,sleeping,
10525,d8e2f570d902de49fa6f48b922c2d516,sleeping,sleeping,average,sleeping,average,sleeping,,sleeping,,,average
10526,d8e3b1fcb11973fa71cc5b3eeb856316,sleeping,sleeping,sleeping,sleeping,,sleeping,sleeping,,,,
10527,d8eccdf7004352348c0b3f8e0dd8d195,sleeping,average,sleeping,sleeping,average,sleeping,,sleeping,sleeping,sleeping,sleeping
10528,d8fad62b463b3971f4678a217025b738,sleeping,sleeping,sleeping,sleeping,sleeping,average,,,sleeping,,
10529,d8fd89939d745bd6e2c6508041e1b9c2,sleeping,sleeping,sleeping,sleeping,,,,,,,sleeping
10530,d910acc68edef814fa4deadfad80b1e5,sleeping,sleeping,sleeping,sleeping,sleeping,sleeping,sleeping,average,sleeping,,
10531,d9198c5521b5b70eed693a7b69dd628e,sleeping,average,sleeping,sleeping,,,,,sleeping,,sleeping
10532,d91c0a74a8163bdaa3cf8c530e6162d6,sleeping,sleeping,average,average,sleeping,,sleeping,sleeping,sleeping,sleeping,sleeping
10533,d91dca6302887f82bdde8e24518beee1,sleeping,sleeping,most frequent,average,average,average,,,sleeping,,sleeping
10534,d92332c8a1ee3924861b1102c2009eb7,sleeping,sleeping,,sleeping,sleeping,sleeping,,,,sleeping,
10535,d92497b94a023e5ab4e907730ff195d5,sleeping,,,sleeping,sleeping,,sleeping,,,,
10536,d92ee66696b50bd2d290d24231f36696,average,average,average,sleeping,,average,,average,sleeping,,sleeping
10537,d940106a2707963af74eccc4423ac179,sleeping,sleeping,,,,,,,,,
10538,d945ae9163fb2838cfeddbdd307effcd,average,sleeping,average,most frequent,average,average,average,average,average,sleeping,average
10539,d947e451742c20fe1eacbe12090532f3,average,,average,sleeping,sleeping,average,sleeping,sleeping,most frequent,,average
10540,d949341e2a7169c1d3691d736bd8e5db,average,average,average,most frequent,sleeping,sleeping,,,sleeping,most frequent,most frequent
10541,d94b2c2fd84642a1b9c88d72572e0f54,average,,average,most frequent,average,sleeping,sleeping,,sleeping,,
10542,d94c4791be5fa94333f6ea1236a833e6,sleeping,sleeping,average,,,average,,sleeping,,sleeping,
10543,d9579d9084578a39549bdac8ce7262da,average,sleeping,,,,,sleeping,,,sleeping,sleeping
10544,d958184165c2f8aafc754543ea2b3323,sleeping,sleeping,,average,sleeping,,average,,,sleeping,
10545,d95cc06f396125e48b9efff6a649c186,sleeping,,sleeping,sleeping,sleeping,sleeping,sleeping,average,,big spenders,big spenders
10546,d960c4dcfb9ff6e17e793c470c441b97,sleeping,sleeping,,average,sleeping,sleeping,sleeping,,,,
10547,d96ba3c4d6017c9df5d9d13eab7ab908,sleeping,sleeping,,average,average,average,,,,,
10548,d96c368527dfb90d32152d18836eda65,sleeping,sleeping,,average,average,sleeping,sleeping,sleeping,most frequent,sleeping,average
10549,d96d68c532dda898a4815b17f13d4bc5,sleeping,,sleeping,sleeping,sleeping,sleeping,,sleeping,sleeping,,average
10550,d96f575f5325fb4812a807c54ef2e923,most frequent,average,average,average,sleeping,sleeping,sleeping,average,big spenders,,sleeping
10551,d973793d7f50cbac3712eb9c4c491a29,average,average,sleeping,,,sleeping,,,average,,average
10552,d97a722ba0e0329cfb548d10d76272fe,average,sleeping,sleeping,sleeping,,sleeping,average,sleeping,average,,sleeping
10553,d97b0c3e785ef377e92f6ddb485df31c,average,average,big spenders,average,,,,sleeping,,sleeping,average
10554,d97e1d4bafc04973c0b7d8db62794777,sleeping,average,average,average,average,most frequent,average,average,,,
10555,d97ed09d226380dc88fd201733393e82,sleeping,average,average,average,sleeping,,sleeping,sleeping,sleeping,,sleeping
10556,d981258909c62450124eadb8d107e957,sleeping,,,,,,sleeping,,sleeping,average,
