,index,client_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,recency_score,frequency_score,monetary_score,rfm_score,segment_name
5147,22560,e592e06006f9044d23fefa4998e3d451,29,1,56.19,2,1,1,211,1,1,1,111,LOST CUSTOMER
5148,22580,e5e2560cdc0a68e78d874312d2b4e609,35,1,6.98,2,1,1,211,1,1,1,111,LOST CUSTOMER
5149,22602,e617e4da505123fa2ad93e19cc8fb913,47,1,139.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5150,22606,e62281158558fcfdaca686de8709aa30,71,1,80.89,1,1,1,111,1,1,1,111,LOST CUSTOMER
5151,22608,e62cf8a893f3bec054e104d93eb5290a,29,2,139.98,2,1,1,211,1,1,1,111,LOST CUSTOMER
5152,22609,e634161e989884685adebb10f09c7156,30,1,166.49,2,1,2,212,1,1,1,111,LOST CUSTOMER
5153,22610,e634b7ff939a0f90c4841b745958b9af,38,2,131.2,1,1,1,111,1,1,1,111,LOST CUSTOMER
5154,22611,e635e2e2d0ce462053b55958cefde0f3,32,1,210.32,2,1,2,212,1,1,1,111,LOST CUSTOMER
5155,22617,e643fa391b6cc31815a56cb889ec42d1,50,2,129.51,1,1,1,111,1,1,1,111,LOST CUSTOMER
5156,22622,e64a6a5d88838bed9d2b569826dac87c,67,2,84.75,1,1,1,111,1,1,1,111,LOST CUSTOMER
5157,22627,e653906356474db67141547095652eda,29,1,6.98,2,1,1,211,1,1,1,111,LOST CUSTOMER
5158,22632,e659ec14485388fcccbdcbe4f9f37b55,44,1,39.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5159,22638,e66ab8db91b187e4e6b7464a3347a2d7,30,1,155.0,2,1,1,211,1,1,1,111,LOST CUSTOMER
5160,22639,e66b8f9fa47360f5a6bb0fdfc638ce2e,46,1,76.29,1,1,1,111,1,1,1,111,LOST CUSTOMER
5161,22656,e694badcac7239e78f7c9b304072c7f8,61,1,73.69,1,1,1,111,1,1,1,111,LOST CUSTOMER
5162,22660,e69db732d0ecd22e60da5edda5cc574e,43,1,99.98,1,1,1,111,1,1,1,111,LOST CUSTOMER
5163,22671,e6bde4298366f812c029db517617fa14,77,1,99.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5164,22672,e6bf30fbd1f08b8a4ddc227c2ba7d880,77,1,44.69,1,1,1,111,1,1,1,111,LOST CUSTOMER
5165,22678,e6cc6d033e7fe595d4078deec6ab8253,57,1,154.56,1,1,1,111,1,1,1,111,LOST CUSTOMER
5166,22688,e6e9d9276dd1f6c9024c702908017258,28,1,85.89,2,1,1,211,1,1,1,111,LOST CUSTOMER
5167,22694,e6f632b6e24aa5dba4213352234148e2,45,1,104.79,1,1,1,111,1,1,1,111,LOST CUSTOMER
5168,22697,e6f90b041b45a7f4d4e44623d5b32643,45,1,23.89,1,1,1,111,1,1,1,111,LOST CUSTOMER
5169,22704,e716496fa2773fbbcc217e567225aded,64,1,101.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5170,22730,e74b4b038814ed4ceba60180eca7fd72,60,1,39.89,1,1,1,111,1,1,1,111,LOST CUSTOMER
5171,22733,e750ca19bdb1489be99e026bdc7d7495,55,1,18.29,1,1,1,111,1,1,1,111,LOST CUSTOMER
5172,22740,e7649db637aca12cad12171647257c17,41,1,18.0,1,1,1,111,1,1,1,111,LOST CUSTOMER
5173,22741,e765c50f5f4c06492a8a54569ad15a1a,72,1,69.96,1,1,1,111,1,1,1,111,LOST CUSTOMER
5174,22742,e767830a46bfe4d3a00f9db21b659927,57,1,40.89,1,1,1,111,1,1,1,111,LOST CUSTOMER
5175,22765,e7a500292d133c867d635bda96d818be,85,1,39.92,1,1,1,111,1,1,1,111,LOST CUSTOMER
5176,22768,e7a8fd622735366011da6c5a0c9e0572,78,2,202.25,1,1,2,112,1,1,1,111,LOST CUSTOMER
5177,22770,e7adb681301a71f81657f68ee8c2f452,59,1,31.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5178,22778,e7bc93f1b8f349f8e5af743e48ce66fc,32,1,114.47,2,1,1,211,1,1,1,111,LOST CUSTOMER
5179,22787,e7d7125e1422764245ad0f51f3903785,76,1,3.49,1,1,1,111,1,1,1,111,LOST CUSTOMER
5180,22792,e7de7bb0b45dcf225ff22dda19a90bd9,33,1,95.19,2,1,1,211,1,1,1,111,LOST CUSTOMER
5181,22800,e7fb030a8a1f78385c2a427b02537162,38,1,79.15,1,1,1,111,1,1,1,111,LOST CUSTOMER
5182,22803,e802b40b417b2d123c4b21f1bed88be5,79,1,88.36,1,1,1,111,1,1,1,111,LOST CUSTOMER
5183,22810,e80e46ab70b2be24450ab112c959120f,50,2,114.89,1,1,1,111,1,1,1,111,LOST CUSTOMER
5184,22816,e8236e2a55421c9006ebe8823cd1515b,69,1,39.94,1,1,1,111,1,1,1,111,LOST CUSTOMER
5185,22823,e846fe14512d74d90abe1eb65473a071,49,1,180.39,1,1,2,112,1,1,1,111,LOST CUSTOMER
5186,22825,e85073a3639e0fcfecf167e4ce01a913,79,2,157.01,1,1,1,111,1,1,1,111,LOST CUSTOMER
5187,22827,e858879577c30ccf5c69678a9d5a9c84,41,2,149.48,1,1,1,111,1,1,1,111,LOST CUSTOMER
5188,22832,e8644a04b2924c6e2ff8f21a712aff58,30,1,59.99,2,1,1,211,1,1,1,111,LOST CUSTOMER
5189,22837,e877b1e0bbde9dfacb8fc0453d9090e9,64,1,84.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5190,22840,e87ca403eb87d3e76523a4d4ed062609,33,2,223.81,2,1,2,212,1,1,1,111,LOST CUSTOMER
5191,22846,e8869ba6765aa3d775cfdad74dbee740,45,1,23.49,1,1,1,111,1,1,1,111,LOST CUSTOMER
5192,22848,e888c6dd221e1e3a27db06f5764a5bbc,43,1,66.09,1,1,1,111,1,1,1,111,LOST CUSTOMER
5193,22849,e88ddf9d713e1219db029501680402b6,62,1,70.0,1,1,1,111,1,1,1,111,LOST CUSTOMER
5194,22852,e8922b862888b7bc547b8ff69590ac7a,76,1,44.95,1,1,1,111,1,1,1,111,LOST CUSTOMER
5195,22860,e8a5ef47ca1627bbb3b9b245a380e530,36,1,159.99,2,1,2,212,1,1,1,111,LOST CUSTOMER
5196,22870,e8bbb8feeb4841bf25620fdca92ed812,49,2,104.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
