,client_id,name0,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11
46,00dfd1dab4ff6ae0c21da1a85c361e80,sleeping,,,sleeping,,sleeping,,,,,average,most frequent
47,00e1a6189f5b9ddde8041f450b0d8483,sleeping,,,sleeping,average,sleeping,,,sleeping,,,
48,00e4edcb55575fb8d4074650754854ce,average,sleeping,sleeping,sleeping,sleeping,average,sleeping,sleeping,,,,
49,00e5e38b8db3cb439ac3707aa7aeed95,average,most frequent,average,average,average,,average,average,average,most frequent,average,sleeping
50,00e6f14db2ad47ffa1084f27dddd1af6,average,average,sleeping,most frequent,sleeping,sleeping,,,sleeping,,sleeping,
51,00e7469cbfd286267003d12e136821de,average,average,sleeping,average,average,average,average,most frequent,,most frequent,average,average
52,00eed474c14f9b22aec058bc39e5c6f3,average,sleeping,sleeping,average,average,sleeping,sleeping,sleeping,,average,average,big spenders
53,00f8817b8a9e47c148f2c097f92df1c3,average,sleeping,sleeping,sleeping,sleeping,sleeping,sleeping,sleeping,average,,sleeping,big spenders
54,00fbc22b589ec35ccdfd431672ccf7da,average,,,,,,,,,,,
55,00ff79b174aeedd629f99c23fc13dc5d,sleeping,,sleeping,,,,sleeping,,average,,,
56,0101a525b25400bc972e06655d65fc0d,average,sleeping,sleeping,average,most frequent,sleeping,average,,,sleeping,,big spenders
57,010222f02a056a054c9ee6be06b2154f,sleeping,sleeping,sleeping,sleeping,sleeping,,,sleeping,sleeping,,,
58,01052baba6a7e56c965a13198964fa7c,average,sleeping,,sleeping,sleeping,sleeping,sleeping,,,,average,average
59,010bfb6072995d7dafdc5e814aeab1d0,sleeping,sleeping,sleeping,,,,,,,sleeping,,
60,010d23a3f8e4071dfe829d9684d40b6e,average,most frequent,average,sleeping,,,,,,average,,average
61,0110371e62e5060f62e80adb61f2847b,sleeping,sleeping,big spenders,sleeping,sleeping,,average,average,,sleeping,sleeping,average
62,01190776bec41cdf11d12c0517c40f91,average,average,average,average,most frequent,,big spenders,,sleeping,,,
