,client_id,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11
70,010bfb6072995d7dafdc5e814aeab1d0,0.0,0.0,1.0,0.0,,,,,,0.0,,
71,010d23a3f8e4071dfe829d9684d40b6e,0.0,4.0,3.0,0.0,,3.0,,,,3.0,,0.0
72,0110371e62e5060f62e80adb61f2847b,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,,0.0,1.0,4.0
73,0113fd43a5f75aaf81c27f89b26c68d1,1.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0
74,01190776bec41cdf11d12c0517c40f91,4.0,4.0,3.0,3.0,0.0,,2.0,,0.0,,,
75,011985e773ed28af623a306581150b9c,0.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0
76,011ab0219b8e39a243fc3fdf40aa2623,0.0,0.0,1.0,0.0,3.0,1.0,,3.0,,0.0,,4.0
77,01223e751f579865086607837d84ca17,0.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,2.0,1.0,2.0
78,0123b6aea8ff4d0d9eace3cb04809d01,4.0,,,,,,0.0,,0.0,,,
79,0126698bf0852a3c3912153008ad3284,0.0,0.0,3.0,,,,,,0.0,2.0,1.0,0.0
80,012b682b4ead97e70fa4997834fd11bf,4.0,4.0,1.0,0.0,,,,0.0,0.0,0.0,1.0,
81,012d4ac655574bf4a121a29080e04b9d,0.0,4.0,1.0,,,1.0,0.0,0.0,1.0,,0.0,4.0
82,012e53a217af04b3fabbdc607a075f79,2.0,1.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,3.0,1.0,0.0
83,0135dd12f71f1cdfeaedbcb0ba97a940,0.0,0.0,,3.0,0.0,,0.0,,,,1.0,4.0
84,013cb4ac6e134e39f9f5794750677b73,0.0,0.0,1.0,3.0,3.0,,,,0.0,3.0,,
85,0141c75b42a2cb1d72742ae8eae6945c,0.0,0.0,,,,,0.0,,,,,0.0
86,0144ed4a0612e2fd83bbcc9d92da472b,4.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0,3.0,2.0
87,0148cd60d16150c24baf8da5c05d95eb,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,,1.0,4.0
88,014a236c3a840a5435af2de52f97b26e,4.0,,,,,,,,,,,
89,014ae63ca75a85be364c4b9b3db0ca74,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,,4.0
90,014b6ca913e81a61c09a0f420258025f,0.0,,,0.0,,,,,,,,
91,014c91db6c689bac83f07a8e35bcb6cd,0.0,,,,3.0,,,,,,,
92,014ebfe80db23a18e451e58bca0c5b32,0.0,0.0,1.0,3.0,3.0,1.0,,0.0,1.0,3.0,1.0,4.0
93,014fa265f375c4aff5d779757c918ed8,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0
94,01519b6ad7f5c633cf74bda2ec843c63,4.0,4.0,0.0,2.0,2.0,0.0,4.0,1.0,2.0,4.0,0.0,2.0
95,0153dae24ab1c7a295ae0ce8be5ce963,2.0,4.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0
96,0155cd3c31a79022e444086432a21ac7,4.0,4.0,1.0,3.0,0.0,,0.0,3.0,1.0,,,0.0
97,01573ddf1fe1a45983533a2d697306e6,4.0,4.0,3.0,3.0,,0.0,,,2.0,,0.0,0.0
98,0163b01c3c7b7aee4d4d0aea056d5d0b,0.0,,,,,,0.0,,0.0,,,
99,01646d09a26f6c84c8bbce5c5f334423,4.0,,1.0,0.0,,,0.0,,,,,
100,0165a78a416355d163b973798251d8a4,0.0,,,,,,0.0,0.0,,,,4.0
101,016a1989be598df92fc2d29bfe25a75a,0.0,3.0,3.0,3.0,0.0,3.0,2.0,3.0,,0.0,1.0,2.0
102,016fed7446215363706bd93ae83eed32,0.0,,,,,,,,,,,
103,017269033cb5d7b45c979452e765c1f1,0.0,,,,,,,0.0,,,,4.0
104,0172f7e12794ed0282e316022f834fd2,0.0,,,0.0,3.0,1.0,0.0,0.0,,,1.0,4.0
105,01789354a9205ac0e120df806b507ec8,0.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,,,4.0
106,017a8d16ad048f04fcc1d83f40d7015f,4.0,0.0,1.0,0.0,3.0,,0.0,,0.0,,,
107,017b9f27abbb966883fae02c4473f06a,0.0,0.0,,0.0,3.0,1.0,,,1.0,,,
108,017f4f014046a606a76cda392cf152f3,0.0,0.0,1.0,3.0,3.0,1.0,0.0,3.0,1.0,2.0,1.0,4.0
109,018a5fc81e8c1ecc2d5472c90d25dac0,0.0,,,,,,,,,,,
110,018d88dd20da3ba94ff4383ab61eb7ba,2.0,4.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,
111,0190d53671419bf305c4d8b6b231acfd,0.0,,,,,1.0,,0.0,0.0,0.0,1.0,
112,019360c847d05da335984e50a57f62fa,0.0,,,,0.0,,,,,,,0.0
113,01952307c2407aea9fa2975f4f688654,0.0,,1.0,0.0,3.0,1.0,,,,,,4.0
114,01a55107949c74db693a9e2c6c41510a,0.0,0.0,,0.0,,,0.0,,,,,
115,01a769d4d03be6e5c822979f84993338,0.0,,,0.0,3.0,,,,,0.0,,0.0
116,01a8610dd1478cb1ca4b4e30c7cd2bc1,4.0,,1.0,0.0,3.0,1.0,0.0,0.0,,,1.0,4.0
117,01a8a7b3d696fc1e082a0088ab8892fa,4.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
118,01a92730f6583058b297cc7cb813c430,0.0,0.0,1.0,0.0,3.0,,,,0.0,,,4.0
119,01a96980ac4f5fb155c50bf30271a4bc,0.0,0.0,1.0,0.0,3.0,,,,,,,
120,01abbaabe8e53c54bdef01f116d1db84,0.0,,,,,,,,,,,
121,01ac538ca395e835bd6fdd800ff5b962,0.0,0.0,,0.0,3.0,,,,,,,
122,01b579f782d84106c716e01cabbbb8bb,0.0,,,,,,,,,,,
123,01b5d0c716a24930f70a809b7a63a245,0.0,,,,,,,,,,,
124,01b5ff8d2e41167fe612fc33bc67d119,0.0,0.0,,0.0,3.0,1.0,0.0,0.0,1.0,,1.0,
125,01b69012e7f17cd91be43d8fdae9df66,0.0,4.0,3.0,3.0,3.0,,,,1.0,0.0,,
126,01bad65061a6b011424414f3b29791f8,0.0,0.0,,0.0,3.0,,0.0,,0.0,0.0,,4.0
127,01beb851653937909a399ac720c6603e,0.0,4.0,4.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0
128,01c085f76411fbca33b474798a2dbfe7,0.0,,,0.0,3.0,1.0,0.0,0.0,0.0,,1.0,4.0
129,01c09d01f09e016f2595148376f35d04,4.0,4.0,1.0,0.0,0.0,1.0,2.0,,,,0.0,4.0
130,01c43bd8603b664a9c794f2461efe0bb,0.0,,,,,,,,,,,
131,01c90c48765afe078f9c1f510ad18e7f,0.0,0.0,1.0,0.0,,1.0,,,,,1.0,4.0
132,01cd0fc7d1bf8d8137572a4600616ae6,0.0,,1.0,0.0,,,,0.0,,,1.0,
133,01d2ab4eefcee9d7a9bb3cbb4fc517d3,0.0,0.0,1.0,3.0,0.0,3.0,,,1.0,0.0,0.0,
134,01d334fbc6f04b8a9fc73965add4786c,0.0,0.0,,0.0,,,,,,,,4.0
135,01d905d0ae77b545ab5f9b1f43761727,4.0,4.0,4.0,2.0,0.0,0.0,2.0,3.0,2.0,3.0,4.0,2.0
136,01dcce57dbc17da93aeaecdd3f25702b,0.0,4.0,3.0,3.0,0.0,3.0,2.0,3.0,1.0,3.0,3.0,0.0
137,01dcd7c1da02192ba4bacd3950e80e41,0.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0
138,01dd2187cf9ce229d70966c88a3dd0df,0.0,3.0,4.0,3.0,1.0,1.0,,0.0,4.0,2.0,3.0,2.0
139,01de443e3c33df9d44a1326ccd07f996,0.0,0.0,1.0,0.0,3.0,,,,,0.0,,4.0
140,01e00c9dff1fbcf65b630f9b7ea2631e,0.0,0.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0
141,01eafd232fd66041c5c98e7add2f1f94,4.0,4.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0
142,01ed4e8b2ef49e3d8e08bdb3bb8bada8,0.0,0.0,4.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0
143,01f9665f14096ceae0cceb8595d194ef,0.0,0.0,1.0,,,,,,,,,
144,01fae66c82aaf132c7c95fcca6ae82eb,2.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,0.0,0.0
145,0200b979ed19bfa86d5c31b77a7a28b0,0.0,0.0,1.0,0.0,3.0,,0.0,0.0,,3.0,1.0,0.0
146,0206c03d225fc9ded09b5514d32ecfa3,0.0,4.0,1.0,0.0,3.0,1.0,,3.0,0.0,,1.0,0.0
147,0207521459f6ada752a2995ea62ae85b,4.0,4.0,3.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0
148,020867055fe82567fdb55d83f2df0396,0.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
149,02091e948281c7cec8137fa0ca65bac5,1.0,3.0,4.0,4.0,0.0,2.0,0.0,3.0,1.0,3.0,0.0,2.0
150,020ba4bfc3ea5503014fcb9ac71381e9,4.0,,1.0,,,,0.0,,,,,
151,020c24612987516347ae4260223dd37a,0.0,0.0,1.0,0.0,,1.0,0.0,3.0,0.0,2.0,,4.0
152,020cb267efc9f9241e864a5f5cf543a1,0.0,,1.0,0.0,,1.0,2.0,3.0,1.0,3.0,1.0,
153,020ed5ebfb90736a161be5b87b3dba18,0.0,0.0,1.0,0.0,3.0,1.0,,0.0,,,1.0,4.0
154,0219ecc2f371a108202c27bac8db9273,0.0,,1.0,,,,0.0,,0.0,,,0.0
155,021aeff4e69c8adda4dc9fd1c3d87224,0.0,,,0.0,,,,,,,,
156,021bc8377fec705bb7a2c94ce51f7be1,0.0,,3.0,,,,,,,,,
157,021d5e34f955fba3e8f741087c99c153,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,3.0,0.0,4.0
158,0223d0c02da8b9139e221af0be109357,0.0,0.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0
159,022e13b3366b1d320c87662ee678ebcb,0.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,1.0,4.0,3.0,0.0
160,0230c2c94f32c037c193d40f1be76ec1,0.0,,,,,,,,,,,
161,0234bcdbd4e1906cf9ef929a61f713ba,0.0,,,,,,,,,,,
162,0242b5dc8863bc96b0f2c3fcf29560c1,0.0,0.0,,0.0,3.0,,0.0,0.0,,,1.0,
163,02432ecf70d558ef79fceeb2dce7ab69,0.0,,1.0,0.0,3.0,1.0,,,0.0,0.0,1.0,4.0
164,0246a6898acd7008d6fdafb670c61110,0.0,0.0,,,,,,,,,,
165,02495479abd403eb047376f02ead551d,2.0,4.0,,3.0,0.0,3.0,2.0,0.0,1.0,4.0,4.0,2.0
166,025035ff88b9b65005cc7c01a48474ff,4.0,0.0,3.0,0.0,,3.0,2.0,3.0,1.0,3.0,0.0,0.0
167,0257801aaf0e465b24bcdef3d794dd8d,4.0,4.0,1.0,3.0,0.0,,0.0,3.0,0.0,3.0,1.0,4.0
168,0258b29516774c968a1df059e830dc80,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,0.0
169,025938d08e182e9ad5bea2f423453852,4.0,,,,,,2.0,3.0,,,1.0,
170,025bfdf5ae32b549b814693ea6df2819,0.0,0.0,,0.0,3.0,,0.0,,,0.0,,
171,02611b14fb39d00d546737164ce32697,0.0,,,,,,,,,,,
172,02624f30b2bfd8f4a73f84b6972d4ecd,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,,,0.0
173,02649f9811cd5ef8309b76647a407714,0.0,0.0,1.0,3.0,3.0,1.0,0.0,,,,1.0,4.0
174,0265ee77596f5389ce8b0fcd91ac9818,0.0,4.0,3.0,2.0,0.0,3.0,,0.0,,,,
175,02679a8c31308a0c794722c558b5b61a,0.0,4.0,3.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0
176,026bf97a01900966ef71d8684e8dedb3,4.0,,3.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,1.0,4.0
177,026e4f83accb9fdc13d1bca503a9ff04,0.0,0.0,1.0,,,,,,,,1.0,4.0
178,026faf79e90543991ec12b9012509a12,0.0,,1.0,0.0,3.0,1.0,2.0,0.0,0.0,4.0,1.0,2.0
179,027163f3e1dd2c9fc161507bf9046fb0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0
180,0274104482ba920e534053838525ae10,0.0,0.0,1.0,,,1.0,0.0,,1.0,3.0,0.0,4.0
181,0278ec6fa59b09f0f0f36643a28e83c4,0.0,,1.0,0.0,3.0,,,0.0,0.0,,,
182,027cc3bacd8cf2a505453d46f235f1d7,4.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0
183,0290e004d7f334291c71df59c2f49c0f,0.0,0.0,1.0,,,1.0,,,,,,4.0
184,029db71d2f86a3560915e146066bec9c,4.0,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,4.0
185,02ab5abe50d3226544a92518da0b4e5c,0.0,,,,,,,,,0.0,1.0,4.0
186,02accb14c753bf7854abad2ad821580b,4.0,0.0,1.0,0.0,1.0,3.0,0.0,,,0.0,,
187,02b18edb42bf74aad5b0ae5fc8be3e35,0.0,0.0,,0.0,,,0.0,,0.0,0.0,1.0,4.0
188,02b1e3a536704024490b00a823a6470d,0.0,0.0,,0.0,3.0,,2.0,,0.0,,,
189,02b322b60fcd8b3c13ae39b60d904379,0.0,0.0,1.0,0.0,3.0,,0.0,0.0,,,1.0,4.0
190,02bc92465a039120780cfd1bf4807aaa,0.0,,,,,,0.0,,,,,
191,02beec9b5be9fd24537e7408ff611107,0.0,,1.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
192,02c017695eeb8be603a1153af96c2ec9,0.0,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0
193,02cd3f2fd1333118f343e141d016931a,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0
194,02cf0e7680da5ed73946ecb8bbe59dd9,4.0,0.0,3.0,0.0,3.0,,2.0,1.0,,3.0,0.0,0.0
195,02d59ffe065c2f1b25ed63623c0d03d5,4.0,4.0,1.0,3.0,,3.0,0.0,0.0,0.0,0.0,,4.0
196,02d70f3ea50b952cd1d79efcd32f6ce6,4.0,4.0,,0.0,3.0,,,3.0,0.0,,1.0,
197,02d9155157c92c467f25abfaef97d1dd,4.0,1.0,0.0,3.0,3.0,,0.0,,,3.0,,0.0
198,02dacab790bcaf21747858d7d3fea290,4.0,4.0,3.0,1.0,1.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0
199,02db68c3ed607b9119aa939f8539765b,0.0,0.0,,0.0,3.0,,,,,,1.0,
200,02dea560ab6a6bda6fc1c2a9fde3e62c,0.0,,,,,,,,0.0,3.0,1.0,
201,02e62b440f2ce2402d6f0139a87beda8,0.0,,1.0,3.0,3.0,1.0,0.0,0.0,1.0,,1.0,4.0
202,02e956c7abd65701643e2c46428caf1b,0.0,,,,,,,,,,,
203,02f091d7ddc5b7aacfed1afd4d60b4c0,0.0,0.0,1.0,0.0,3.0,1.0,,,,,,
204,02f218021c72c32e59d3b802d24c88d7,4.0,1.0,0.0,2.0,2.0,0.0,4.0,1.0,2.0,4.0,4.0,2.0
205,02f31464cb6fed2f1321245c910fde8c,4.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0
206,02f5f49e528f28e9cbb451271a953d21,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0
207,02f94348fe26520886efd4ccd679b1b5,2.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,4.0,0.0,2.0
208,02f956e3f217538356888a4abc925c37,0.0,0.0,,0.0,3.0,,,,,,,
209,02f9f93e1032df4059a6bd035444d353,1.0,3.0,2.0,1.0,0.0,1.0,,,,,,
210,02fc1c89cb865816846a2a59167bd5d0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0
211,0307bae5e309b6fdf384779b6216d3c2,0.0,,,0.0,3.0,,,,,3.0,,
212,0309bf9991212323554ba624a305c0d6,0.0,,,,,,,,,,,
213,031419657fbeb511d3fb17fbc95b9c27,0.0,0.0,1.0,0.0,,1.0,,0.0,0.0,,1.0,4.0
214,03156e6d7a0dfcb795e74d704298252e,0.0,,,,,,,,0.0,0.0,1.0,4.0
215,0317fddbdc1041c5edba4e2ff5c105d2,0.0,0.0,1.0,0.0,3.0,1.0,0.0,,,0.0,1.0,4.0
216,031dbd1798559e4946e16a2191a39b4c,0.0,,1.0,,,,,,,0.0,,
217,03222d5df2cdaf54b8d06e8ea02f5ecc,0.0,0.0,3.0,0.0,3.0,3.0,,0.0,0.0,0.0,1.0,4.0
218,03283083f72a38e993611fc0bd132147,2.0,1.0,3.0,2.0,0.0,,,0.0,1.0,3.0,0.0,0.0
219,03296ddc7c40ad63e9654a3f53b5b87e,0.0,,1.0,,,,,,0.0,,,
220,032d809d274ff0445e30c436b0641afd,0.0,,,0.0,3.0,1.0,0.0,0.0,,0.0,,
221,032fbf1576cde0cf574770e27591af38,0.0,0.0,1.0,0.0,3.0,,0.0,0.0,0.0,0.0,,4.0
222,0341c894033ee99e8fce2d538c5aa3e2,0.0,,1.0,0.0,,,,,0.0,0.0,,4.0
223,03424b7425dab5578674da1472d2ec1e,4.0,4.0,3.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,2.0
224,034667c43a19d2f007fc0cefbf9f4803,4.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,,,1.0,4.0
225,034a60bb26ba857afb250737623ed6cd,0.0,0.0,1.0,0.0,,,,,,,,
226,034c641716792b125e9078db58f86519,0.0,1.0,1.0,,,,,,,,,
227,0352d6fe733aadba0ddc1ec3615805c7,4.0,1.0,0.0,2.0,1.0,,,0.0,1.0,2.0,0.0,0.0
228,0354a8d2738364f0ba692a44d26daedd,0.0,,1.0,0.0,,1.0,,,,0.0,,4.0
229,035ad6e0084d1f23086a2cbe78dcc196,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,4.0
230,03652f76056071aff4fffe7d97c3f6e6,4.0,0.0,1.0,0.0,3.0,,0.0,,1.0,0.0,1.0,4.0
231,03662c4106a13c41456d2cf006c71b68,0.0,0.0,1.0,,,1.0,,,0.0,,,4.0
232,0366a2865982d7f281b23ff9e5029426,0.0,,,0.0,,,,,,0.0,1.0,4.0
233,0368775f6ec388487ddd099dffb7cddc,0.0,0.0,1.0,,,,0.0,0.0,,,,
234,0368bf68de214bcdb7841463a7e4404d,2.0,4.0,3.0,3.0,0.0,3.0,2.0,3.0,1.0,3.0,0.0,
235,036dd35740306f035981ac7edebd14c8,0.0,4.0,1.0,,,,,,,,,
